picCode jpg	N Participants	Mean(valence)	Mean(arousal)	Mean(dominance)	Mean(craving)	Std Dev(valence)	Std Dev(arousal)	Std Dev(dominance)	Std Dev(craving)
fat_0012.JPG	148	6.24305556	3.28472222	6.04895105	4.81944444	2.13609188	2.47409853	2.29613475	2.99101867
fat_0018.jpg	142	7.04964539	3.85815603	6.07801418	5.92907801	2.03654554	2.81978105	2.17476081	2.86766553
fat_0022.jpg	135	6.71428571	4.17910448	6.02255639	5.67164179	1.79465295	2.57474941	1.82352541	2.74690836
fat_0029.jpg	135	6.70149254	4.18796992	5.90225564	5.91044776	1.97362249	2.66614685	2.10650026	2.80831924
fat_0036.jpg	142	7.09929078	4	6.09929078	5.91489362	2.00821514	2.87352447	2.40328633	2.86976694
fat_0037.jpg	134	7.24242424	4.23308271	6.39849624	6.5112782	1.96193242	2.77676293	1.98456105	2.69291028
fat_0038.JPG	148	7.16438356	3.88356164	6.27586207	5.9109589	1.72617735	2.61694814	2.20000871	2.72389486
fat_0042.jpg	135	5.79699248	3.51515152	5.56060606	4.0075188	2.19765508	2.62833895	1.98181648	2.92195514
fat_0055.jpg	142	6.9084507	4.08450704	6.02112676	5.77464789	2.06251561	2.70406303	2.37142657	2.96646593
fat_0075.jpg	134	7.29007634	4.25954198	6.34351145	6.54961832	1.76499531	2.78619616	1.89643793	2.59055605
fat_0083.jpg	142	7.27659574	4.02857143	6.30496454	6.13475177	1.74071571	2.83082431	2.19070524	2.91356399
fat_0107.JPG	148	6.94520548	4.26206897	6.34246575	6.12413793	2.05705119	2.76390598	2.28771338	2.85015292
fat_0118.JPG	148	7.20547945	4.3630137	6.33561644	6.26027397	2.10718904	2.84757643	2.41911183	2.84799941
fat_0156.jpg	135	7.1037037	4.13333333	6.1037037	6.05185185	1.88186187	2.89569933	1.97474379	2.77869968
fat_0242.jpg	134	7.01503759	4.45112782	6.58646617	6.15037594	2.02254326	3.01125708	1.93503512	2.82975596
fat_0611.jpg	142	6.08450704	3.11267606	5.90140845	4.41549296	1.97319972	2.31583691	2.06390754	2.75794907
fat_0655.jpg	142	7.41134752	4.39007092	6.27659574	6.44604317	2.04614942	3.05374021	2.36070928	2.88969348
fat_0721.JPG	148	5.46896552	3.30344828	5.70344828	4.28965517	2.18598812	2.39595764	2.43562717	2.91527882
fat_5515.jpg	135	7.06015038	4.1119403	6.2481203	5.73880597	1.67313622	2.71077063	1.85621811	2.73635811
fat_5557.JPG	148	7.48275862	4.5862069	6.56849315	6.54794521	1.95825691	2.99904199	2.32203102	2.87457869
fat_6053.jpg	135	6.40151515	3.8030303	6	4.68939394	2.21328345	2.88306292	2.10128166	3.15776657
fat_6054.jpg	134	7.07462687	4.26119403	6.25373134	5.80597015	1.85418391	2.76369891	1.7154169	2.84559444
fat_6439.jpg	134	6.91729323	4.45864662	6.15789474	6.0075188	2.08909547	2.9810291	1.97653701	2.8828023
fatfood3.jpg	134	7.31343284	4.61654135	6.3358209	6.34586466	1.85738886	2.92771967	1.98469342	2.70534015
fru_0015.jpg	135	7.00740741	3.58518519	6.22962963	5.52592593	1.97558341	2.73557324	2.00350715	2.95445434
fru_0024.jpg	135	7.17424242	3.61832061	6.10077519	5.52307692	2.0133001	2.66446131	1.92372101	2.91006109
fru_0083.jpg	134	7.12030075	3.51879699	6.22556391	5.62406015	1.61450618	2.45443786	1.88541669	2.67593513
fru_0103.JPG	135	7.34074074	3.96296296	6.26666667	5.74814815	1.7668716	2.65253303	2.15517427	2.81180486
fru_0144.jpg	134	7.54477612	4.19548872	6.41044776	5.95488722	1.50495758	3.03129797	1.84436833	2.81463885
fru_0190.jpg	142	6.76811594	3.15942029	6.10218978	5.29710145	1.79329593	2.27087679	1.96769749	2.78003681
fru_0289.jpg	134	6.95488722	3.8880597	6.25373134	5.64925373	1.7050045	2.91137372	1.90245811	2.79434839
fru_0337.jpg	135	7.34074074	4.11851852	6.32592593	5.6	1.56053456	2.7482745	1.93487101	2.80777173
fru_0384.jpg	142	6.82857143	3.26241135	6.14184397	5.06382979	1.8580676	2.4745718	2.23153234	2.95009144
fru_0492.jpg	135	6.97014925	3.51492537	5.93283582	5.23703704	1.73396108	2.48524994	1.77364906	2.94275586
fru_0495.jpg	134	6.99236641	3.80916031	6.32307692	5.35114504	1.77805504	2.71778899	1.91370166	2.84449175
fru_0511.jpg	134	7.22556391	3.93984962	6.28571429	5.72180451	1.60310561	2.69612348	1.92106121	2.66388126
fru_0553.JPG	142	6.33098592	3.46808511	5.84507042	4.65492958	2.04461525	2.58444023	2.17104013	2.95605107
fru_0593.JPG	148	6.73103448	3.36551724	6.00689655	5.35862069	2.09912406	2.60291982	2.39645732	2.90037321
fru_0613.jpg	135	6.78030303	3.77272727	6.07575758	5.23484848	1.88329091	2.61700519	2.00617829	2.95993565
fru_0670.JPG	134	7.38059701	3.8358209	6.44776119	5.77443609	1.51083692	2.74805202	1.88610736	2.42654681
fru_0683.JPG	148	7.14383562	4.07534247	6.3630137	5.95890411	1.85319752	2.73441822	2.11360172	2.7313675
fru_1902.JPG	148	6.84827586	3.6137931	5.9862069	5.36551724	2.09274884	2.53088206	2.3804359	2.81072794
fru_5515.JPG	148	6.82517483	3.60839161	6.15384615	5.40559441	1.96560096	2.52601943	2.19252152	2.75332772
fru_5595.JPG	148	6.69655172	3.65972222	6.10344828	5.47222222	2.00459243	2.61294035	2.28437974	2.81092883
fru_5772.jpg	142	6.4751773	3.26950355	6	4.58865248	2.10977846	2.62373625	2.10780861	2.84371719
fru_5782.JPG	148	7.15753425	3.89041096	6.18493151	5.47260274	1.9071132	2.75961838	2.2894162	2.94125285
fru_5795.JPG	142	7.08450704	3.95035461	6.22695035	5.54225352	1.89247467	2.80389077	2.14598893	2.82246117
fru_5833.JPG	142	7.17021277	3.87943262	6.19858156	5.46808511	1.90472138	2.8371897	2.18180744	2.93635632
sug_0013.jpg	135	7.45522388	4.63157895	6.42105263	6.51492537	1.94130284	2.7646954	2.03830933	2.62072444
sug_0014.JPG	148	7.48630137	4.73287671	6.44520548	6.45890411	1.85039158	2.86065123	2.20666958	2.85059392
sug_0018.jpg	135	7.48507463	4.62686567	6.42105263	6.71641791	1.79278032	3.01043709	2.18538717	2.62037115
sug_0043.jpg	142	7.33098592	4.30985915	6.04255319	6.33802817	2.0993813	2.8933357	2.32646986	2.74672551
sug_0072.jpg	142	7.41843972	4.43262411	6.4893617	6.60992908	2.12520933	3.00072602	2.21235822	2.76398535
sug_0083.jpg	134	7.73880597	5.41791045	6.61940299	6.72932331	1.88356207	2.98693523	2.09472943	2.76648727
sug_0096.jpg	135	7.42222222	4.47407407	6.3037037	6.01481481	1.9023421	2.81475226	1.98604863	2.9243833
sug_0099.jpg	148	7.375	4.22222222	6.16197183	5.77083333	1.80083508	2.65088571	2.2554499	2.72701776
sug_0101.jpg	142	7.44366197	4.41549296	6.42957746	5.99295775	1.98406649	2.97803533	2.34111535	2.70407226
sug_0112.jpg	142	7.33571429	4.01428571	6.31428571	5.87857143	1.79371691	2.86879945	2.31692464	2.80664129
sug_0113.jpg	135	7.51851852	4.43703704	6.33333333	6.41481481	1.72709683	3.00151058	2.01487009	2.69987613
sug_0116.JPG	148	6.04166667	3.1875	5.93055556	4.125	1.98552454	2.45510386	2.32845811	2.72741841
sug_0135.jpg	134	7.59848485	4.40909091	6.5	6.29545455	1.66627916	2.83100216	2.02088334	2.7594076
sug_0141.jpg	134	7.77443609	4.77443609	6.58646617	6.68421053	1.44922415	2.85937199	1.96995547	2.65823028
sug_0147.jpg	135	6.8	3.8962963	5.99259259	5.68148148	2.05448181	2.79731768	2.11778643	2.87981097
sug_0150.JPG	148	7.40559441	4.17730496	6.53521127	6.26573427	1.808578	2.67604102	1.99880096	2.79826669
sug_0151.jpg	142	6.96428571	3.83571429	6.41428571	5.46428571	1.99787914	2.83252109	2.13226571	2.95386764
sug_0152.jpg	134	7.67910448	4.80597015	6.69402985	6.57462687	1.58280586	2.91606288	1.80320355	2.64540136
sug_0157.jpg	135	7.59398496	4.64661654	6.56390977	6.90225564	1.77541115	3.04062267	2.09744933	2.4644892
sug_0166.JPG	148	6.90344828	4.04827586	6.13103448	5.52413793	1.95193685	2.68051362	2.12542536	2.92280962
sug_152.jpg	134	7.1119403	4.17910448	6.2238806	5.42537313	1.69324375	2.74711262	1.87841635	2.89769643
sug_4009.JPG	148	7.11805556	4.38194444	6.20138889	6.27777778	1.97004323	2.84567277	2.2143204	2.90272224
sug_4011.jpg	142	7.13380282	4.27464789	6.04929577	6.02816901	2.05329306	2.88587749	2.28261224	2.82828586
sug_4421.jpg	134	7.92481203	5.26515152	6.57142857	7.15037594	1.57453245	3.01866926	2.19602159	2.5271143
veg_0002.JPG	148	5.84931507	3.16438356	6.07534247	4.1369863	2.32925167	2.42977904	2.23787343	2.97026676
veg_0005.JPG	142	5.1294964	2.67857143	5.35971223	3.30714286	1.96651141	1.96468042	2.19025243	2.49285722
veg_0011.JPG	142	5.46099291	3.03546099	5.54609929	3.62411348	2.18931734	2.47389614	2.16291859	2.63096671
veg_0012.jpg	135	5.59090909	2.96946565	5.56153846	3.59541985	1.9998265	2.31695733	2.01545904	2.7309582
veg_0048.JPG	142	5.19148936	2.59574468	5.14893617	3.25	1.93063607	2.08044886	2.44638559	2.61463782
veg_0070.jpg	134	5.86466165	2.85714286	5.93984962	3.58333333	1.89809296	2.3521198	1.84127508	2.83662434
veg_0079.jpg	135	5.3358209	2.84210526	5.5112782	3.51492537	2.19344214	2.30888306	2.1483487	2.84891504
veg_0085.jpg	134	5.86567164	2.94029851	5.8880597	3.53383459	1.85079152	2.29337455	1.87849103	2.62432927
veg_0092.jpg	135	5.38059701	2.78947368	5.62686567	3.29850746	2.13032094	2.41852895	2.15445557	2.70902099
veg_0109.JPG	148	6.26896552	3.36551724	6.02797203	4.625	1.96233694	2.47715617	2.42331415	3.00320342
veg_0113.JPG	135	5.6119403	2.68656716	5.62878788	3.75373134	2.20699656	2.2492034	2.06166502	2.87963178
