picCode jpg	N Participants	Mean(valence) Females	Mean(arousal) Females	Mean(dominance) Females	Mean(craving) Females	Std Dev(valence) Females	Std Dev(arousal) Females	Std Dev(dominance) Females	Std Dev(craving) Females
fat_0012.JPG	77	6.2027027	3.24324324	6.2739726	4.45945946	2.24511482	2.45401997	2.12955573	3.06186974
fat_0018.jpg	71	6.98591549	3.5915493	5.50704225	5.35211268	2.33906549	2.74942833	2.16381435	3.03831998
fat_0022.jpg	67	6.70769231	4.12121212	5.83076923	5.5	1.73856152	2.51466561	1.93301279	2.74142018
fat_0029.jpg	67	6.77272727	4.15384615	5.69230769	5.81818182	1.83802113	2.62339695	1.9678913	2.85500419
fat_0036.jpg	71	7.16901408	3.5915493	5.70422535	5.64788732	2.09752177	2.53871432	2.24495858	2.98615181
fat_0037.jpg	69	7.30434783	4.05797101	6.26086957	6.1884058	1.99487835	2.68921625	2.11195598	2.72394266
fat_0038.JPG	77	6.85526316	3.73684211	6.28	5.56578947	1.77165796	2.56836353	2.17827107	2.71948783
fat_0042.jpg	67	5.63076923	3.41538462	5.328125	3.89230769	2.01997239	2.65101577	2.12359898	2.77332763
fat_0055.jpg	71	6.61971831	3.5915493	5.81690141	5.1971831	2.25747139	2.61084258	2.26973793	3.24530306
fat_0075.jpg	69	7.2238806	4.10447761	6.23880597	6.01492537	1.84079113	2.71435203	2.00823722	2.61402127
fat_0083.jpg	71	7.21126761	3.92957746	6.11267606	5.70422535	1.8509881	2.75848791	2.2203558	3.14140263
fat_0107.JPG	77	6.93333333	4.25675676	6.41333333	5.89189189	2.04234453	2.76999981	2.02079282	2.86005828
fat_0118.JPG	77	6.92105263	4.13157895	6.17105263	6.05263158	2.17723469	2.85349893	2.46245492	2.96150744
fat_0156.jpg	67	7.14925373	4.02985075	6.13432836	5.88059701	1.7516549	2.84429333	1.98399293	2.71651731
fat_0242.jpg	69	7.05882353	4.44117647	6.63235294	5.76470588	2.18462984	2.95429034	1.86806957	2.89166402
fat_0611.jpg	71	6.01408451	2.78873239	5.69014085	3.85915493	1.98201166	2.11062274	1.98272215	2.79436052
fat_0655.jpg	71	7.1971831	4	6.12676056	5.81428571	2.35808468	2.96165977	2.38405164	3.1174723
fat_0721.JPG	77	5.46666667	3.2	5.62666667	3.69333333	2.11387523	2.42732196	2.45375241	2.83307365
fat_5515.jpg	67	7.17910448	4.19402985	6.37313433	5.70149254	1.49671735	2.54200354	1.66820372	2.51067373
fat_5557.JPG	77	7.52	4.52	6.65333333	6.26666667	1.86981716	2.84918196	2.17785745	2.90076101
fat_6053.jpg	67	6.16923077	3.73846154	5.73846154	4.53846154	2.1328475	2.85195614	1.99434296	3.07752398
fat_6054.jpg	69	7.05797101	3.88405797	6.31884058	5.20289855	1.96950321	2.60957644	1.60415594	2.88290963
fat_6439.jpg	69	6.69117647	4.01470588	6.23529412	5.35294118	2.35161014	2.90903198	1.87773798	3.06528324
fatfood3.jpg	69	7.27536232	4.28985507	6.28985507	6.02898551	1.9991473	2.89066169	1.91050847	2.86957168
fru_0015.jpg	67	7.32835821	3.86567164	6.35820896	5.55223881	1.77855968	2.98935243	1.9361121	2.89871226
fru_0024.jpg	67	7.18461538	3.859375	5.74603175	5.578125	1.86992904	2.68367899	1.92578642	2.7185704
fru_0083.jpg	69	7.20289855	3.57971014	6.2173913	5.39130435	1.61408971	2.58619524	2.00638367	2.69649768
fru_0103.JPG	67	7.64179104	4.34328358	6.31343284	5.89552239	1.51459058	2.62593267	2.29101642	2.62352024
fru_0144.jpg	69	7.69565217	3.85507246	6.36231884	5.68115942	1.49808061	2.92693055	1.88625847	2.92802259
fru_0190.jpg	71	6.87142857	3.15714286	5.75362319	5.15714286	1.86439895	2.34450152	1.88964514	2.87233538
fru_0289.jpg	69	7.11594203	4.07246377	6.4057971	5.62318841	1.6762724	3.10748073	1.98760009	2.90081859
fru_0337.jpg	67	7.49253731	4.37313433	6.34328358	5.53731343	1.50124327	2.69587688	1.93494373	2.65334756
fru_0384.jpg	71	6.72857143	2.97183099	5.70422535	4.90140845	2.03535012	2.24863026	2.22578632	2.99120105
fru_0492.jpg	67	7.05970149	3.47761194	5.86567164	5.08955224	1.75706881	2.47017487	1.70467737	2.91667797
fru_0495.jpg	69	6.84057971	3.49275362	6.43478261	4.84057971	2.01919603	2.77395019	1.94390647	2.93870314
fru_0511.jpg	69	7.4057971	4.04347826	6.28985507	5.72463768	1.6208099	2.74630652	1.99338206	2.78062656
fru_0553.JPG	71	6.36619718	3.3	5.87323944	4.50704225	2.1728154	2.49259774	2.02081721	3.01365103
fru_0593.JPG	77	6.67567568	3.24324324	6.01351351	4.90540541	2.13969725	2.58981573	2.326107	2.87725573
fru_0613.jpg	67	6.890625	3.890625	6.09375	5.109375	1.79166667	2.64345365	1.8916588	2.87913781
