picCode jpg	N Participants	Mean(valence) Males	Mean(arousal) Males	Mean(dominance) Males	Mean(craving) Males	Std Dev(valence) Males	Std Dev(arousal) Males	Std Dev(dominance) Males	Std Dev(craving) Males
fat_0012.JPG	71	6.28571429	3.32857143	5.81428571	5.2	2.02979871	2.51212381	2.45122186	2.88725335
fat_0018.jpg	71	7.11428571	4.12857143	6.65714286	6.51428571	1.69006352	2.8838452	2.04220479	2.57492286
fat_0022.jpg	68	6.72058824	4.23529412	6.20588235	5.83823529	1.85959062	2.64923333	1.706518	2.76227407
fat_0029.jpg	68	6.63235294	4.22058824	6.10294118	6	2.108295	2.7254773	2.22696974	2.78052932
fat_0036.jpg	71	7.02857143	4.41428571	6.5	6.18571429	1.92595866	3.14155347	2.50651325	2.74148409
fat_0037.jpg	65	7.17460317	4.421875	6.546875	6.859375	1.93890294	2.87741445	1.8424422	2.63593715
fat_0038.JPG	71	7.5	4.04285714	6.27142857	6.28571429	1.62186152	2.67806828	2.23879774	2.69805543
fat_0042.jpg	68	5.95588235	3.6119403	5.77941176	4.11764706	2.35906523	2.62248566	1.82720395	3.07386388
fat_0055.jpg	71	7.1971831	4.57746479	6.22535211	6.35211268	1.81753144	2.72376825	2.46806566	2.55286165
fat_0075.jpg	65	7.359375	4.421875	6.453125	7.109375	1.69375311	2.87189273	1.78111511	2.46317119
fat_0083.jpg	71	7.34285714	4.13043478	6.5	6.57142857	1.63197857	2.92007778	2.15856904	2.61307431
fat_0107.JPG	71	6.95774648	4.26760563	6.26760563	6.36619718	2.08694322	2.77724296	2.55207337	2.83971546
fat_0118.JPG	71	7.51428571	4.61428571	6.51428571	6.48571429	1.99813578	2.84015134	2.37586205	2.72265246
fat_0156.jpg	68	7.05882353	4.23529412	6.07352941	6.22058824	2.01399842	2.96304425	1.97987016	2.84864769
fat_0242.jpg	65	6.96923077	4.46153846	6.53846154	6.55384615	1.8537903	3.09271787	2.01616067	2.72735431
fat_0611.jpg	71	6.15492958	3.43661972	6.11267606	4.97183099	1.97591127	2.47693586	2.13507642	2.6239111
fat_0655.jpg	71	7.62857143	4.78571429	6.42857143	7.08695652	1.660901	3.11561219	2.3441041	2.50140625
fat_0721.JPG	71	5.47142857	3.41428571	5.78571429	4.92857143	2.27603411	2.37433656	2.43103638	2.8858547
fat_5515.jpg	68	6.93939394	4.02985075	6.12121212	5.7761194	1.83871852	2.88659467	2.03443548	2.9635201
fat_5557.JPG	71	7.44285714	4.65714286	6.47887324	6.84507042	2.06162813	3.17090813	2.47766685	2.836738
fat_6053.jpg	68	6.62686567	3.86567164	6.25757576	4.8358209	2.2819172	2.93306915	2.18604389	3.2501609
fat_6054.jpg	65	7.09230769	4.66153846	6.18461538	6.44615385	1.73856152	2.88464103	1.83620114	2.68113065
fat_6439.jpg	65	7.15384615	4.92307692	6.07692308	6.69230769	1.76095472	3.00680318	2.08647199	2.52440016
fatfood3.jpg	65	7.35384615	4.96875	6.38461538	6.6875	1.70871634	2.94913897	2.07433956	2.49364271
fru_0015.jpg	68	6.69117647	3.30882353	6.10294118	5.5	2.1178513	2.45105736	2.07428971	3.02970369
fru_0024.jpg	68	7.1641791	3.3880597	6.43939394	5.46969697	2.1574186	2.64549488	1.87394104	3.10443701
fru_0083.jpg	65	7.03125	3.453125	6.234375	5.875	1.62293825	2.32262637	1.76151259	2.65174396
fru_0103.JPG	68	7.04411765	3.58823529	6.22058824	5.60294118	1.95038323	2.64425761	2.02849542	2.99820696
fru_0144.jpg	65	7.38461538	4.5625	6.46153846	6.25	1.50719429	3.12122788	1.8120855	2.67854497
fru_0190.jpg	71	6.66176471	3.16176471	6.45588235	5.44117647	1.72436702	2.20995235	1.99577033	2.69539327
fru_0289.jpg	65	6.78125	3.69230769	6.09230769	5.67692308	1.7317644	2.69793368	1.80903183	2.69900266
fru_0337.jpg	68	7.19117647	3.86764706	6.30882353	5.66176471	1.6139074	2.7960762	1.94903231	2.97055346
fru_0384.jpg	71	6.92857143	3.55714286	6.58571429	5.22857143	1.67090558	2.66830954	2.16355087	2.92005275
fru_0492.jpg	68	6.88059701	3.55223881	6	5.38235294	1.71907646	2.51831823	1.85047087	2.98268341
fru_0495.jpg	65	7.16129032	4.16129032	6.19672131	5.91935484	1.46201689	2.63142141	1.88696999	2.64450179
fru_0511.jpg	65	7.03125	3.828125	6.28125	5.71875	1.57327633	2.65804969	1.85565417	2.55398071
fru_0553.JPG	71	6.29577465	3.63380282	5.81690141	4.8028169	1.92275373	2.6792293	2.32569412	2.91115941
fru_0593.JPG	71	6.78873239	3.49295775	6	5.83098592	2.06961344	2.62881418	2.48423601	2.86847852
fru_0613.jpg	68	6.67647059	3.66176471	6.05882353	5.35294118	1.9732629	2.60659493	2.12225136	3.05064077
fru_0670.JPG	65	7.09230769	3.8	6.32307692	5.84615385	1.50751324	2.67628474	1.82095178	2.33339057
fru_0683.JPG	71	7.16901408	4.16901408	6.47887324	6.21126761	1.81254293	2.8182361	2.20297951	2.74598665
fru_1902.JPG	71	6.9	3.52857143	6.02857143	5.9	1.96454073	2.61390611	2.40754508	2.67652164
fru_5515.JPG	71	6.50724638	3.43478261	5.82608696	5.46376812	2.23358844	2.44033665	2.22258806	2.86756563
fru_5595.JPG	71	6.84285714	3.75714286	6.02857143	5.78571429	1.83868033	2.50469538	2.38334455	2.68594224
fru_5772.jpg	71	6.6	3.68571429	6.34285714	5.21428571	2.08792248	2.77954671	2.07738488	2.68054103
fru_5782.JPG	71	7.14084507	3.74647887	6.07042254	5.84507042	1.77519234	2.71355492	2.3441352	2.85681085
fru_5795.JPG	71	6.90140845	4.4084507	6.26760563	5.83098592	1.84510882	2.8763939	2.28634297	2.6076038
fru_5833.JPG	71	7.02857143	4.25714286	6.22857143	5.88571429	1.91841895	3.03928727	2.17476588	2.86175611
sug_0013.jpg	68	7.05882353	4.20588235	6.5	6.39705882	2.15712878	2.70741835	1.94322397	2.74345738
sug_0014.JPG	71	7.55072464	4.97101449	6.49275362	6.94202899	1.81931008	2.95042875	2.24016273	2.60024918
sug_0018.jpg	68	7.17910448	4.25373134	6.37313433	6.80597015	2.02204047	3.00677661	2.04373263	2.61255016
sug_0043.jpg	71	7.35211268	4.81690141	6.24285714	6.57746479	1.95739325	2.85011207	2.28057782	2.60582848
sug_0072.jpg	71	7.25714286	4.54285714	6.67142857	6.71428571	1.80727767	3.00572263	2.26326319	2.62177535
sug_0083.jpg	65	7.53846154	5.83076923	6.50769231	6.9375	1.80344222	2.83156996	2.04727774	2.59960314
sug_0096.jpg	68	7.04411765	4.30882353	6.26470588	6.14705882	2.14708288	2.89754066	1.85776022	2.98885844
sug_0099.jpg	71	7.07246377	4.05797101	6.11594203	5.72463768	1.85756672	2.44278083	2.34856797	2.62837491
sug_0101.jpg	71	7.26760563	4.71830986	6.66197183	6.08450704	1.78051154	3.02458072	2.20352744	2.49997988
sug_0112.jpg	71	7.42857143	4.24285714	6.6	6.3	1.65565722	2.85614372	2.36152739	2.64492952
sug_0113.jpg	68	7.35294118	4.57352941	6.32352941	6.70588235	1.96813956	3.11144338	2.10501304	2.66575196
sug_0116.JPG	71	5.98591549	3.12676056	5.81690141	4.36619718	2.11452769	2.21636496	2.55963088	2.6524352
sug_0135.jpg	65	7.484375	4.421875	6.4375	6.578125	1.74567209	2.80478439	2.09969764	2.74182587
sug_0141.jpg	65	7.640625	4.9375	6.53125	6.859375	1.53651004	2.87228132	1.87691701	2.74797003
sug_0147.jpg	68	6.76470588	3.88235294	5.67647059	6.17647059	2.1168665	2.93984166	2.30146726	2.96718962
sug_0150.JPG	71	7.41176471	4.37313433	6.70588235	6.39705882	1.80575609	2.65053351	1.93212298	2.83443488
sug_0151.jpg	71	7.02816901	4.02816901	6.83098592	6	1.9926424	3.01411835	2.11785549	2.73600334
sug_0152.jpg	65	7.46153846	4.69230769	6.52307692	6.81538462	1.74173874	2.83903085	1.92116251	2.50557072
sug_0157.jpg	68	7.44776119	4.55223881	6.55223881	7.25373134	2.0021472	3.08605653	2.22440719	2.43300091
sug_0166.JPG	71	7	4.31428571	6.08571429	5.72857143	1.94861526	2.49371882	2.16522487	2.8280245
sug_152.jpg	65	7.13846154	4.61538462	6.27692308	6.09230769	1.69444795	2.84875141	1.78979479	2.83241878
sug_4009.JPG	71	6.95714286	4.47142857	5.87142857	6.57142857	2.15645787	2.69579075	2.34008193	2.76924846
sug_4011.jpg	71	7.18309859	4.54929577	6.18309859	6.05633803	1.80720668	2.95097433	2.26343518	2.62345097
sug_4421.jpg	65	7.58461538	5.375	6.33846154	7.07692308	1.73107903	3.11422746	2.34705216	2.67691341
veg_0002.JPG	71	5.87142857	3.34285714	5.9	4.4	2.40121605	2.38889772	2.26600587	2.93603301
veg_0005.JPG	71	5.13043478	2.94285714	5.42857143	3.68571429	2.05020116	2.14601562	2.33791328	2.45860133
veg_0011.JPG	71	5.18571429	3.37142857	5.84285714	3.54285714	2.17557493	2.66034447	2.27548825	2.4829022
veg_0012.jpg	68	5.50746269	3.26865672	5.81818182	3.77272727	2.21819702	2.56776102	2.02984722	2.82186766
veg_0048.JPG	71	5.02857143	2.42857143	5.1	2.88571429	1.86478758	1.83817355	2.56028757	2.25570361
veg_0070.jpg	65	5.84375	3.015625	5.984375	3.79365079	1.74773096	2.41353451	1.74111976	2.82933213
veg_0079.jpg	68	5.19117647	2.71641791	5.76470588	3.52941176	2.36426981	2.16589243	2.24018687	2.84668222
veg_0085.jpg	65	5.81538462	3.13846154	5.87692308	3.875	1.86155435	2.39058651	1.81579607	2.60341656
veg_0092.jpg	68	5.63235294	3.02941176	5.97058824	3.73529412	2.36204068	2.52728743	2.14386029	2.88391135
veg_0109.JPG	71	6.34782609	3.62318841	5.8358209	4.82608696	2.00606497	2.58446404	2.5141841	2.98011311
veg_0113.JPG	68	5.71641791	3.01492537	5.8	3.86567164	2.47903922	2.56132386	2.26522626	3.0841507
veg_0114.jpg	65	6.24615385	3.24615385	5.87692308	5	1.7050547	2.35869912	1.78104334	2.65753645
veg_0118.JPG	71	5.77142857	3.38571429	5.38571429	4.57142857	2.40272447	2.32997392	2.59482683	2.95655219
veg_0125.JPG	71	6.25352113	3.49295775	5.78873239	4.69014085	2.04742563	2.53474845	2.31093978	2.90118965
veg_0133.jpg	71	5.33802817	2.77464789	5.49295775	3.04225352	1.74800835	2.01563307	2.27955659	2.36906624
veg_0135.jpg	65	6.140625	3.390625	5.640625	4.515625	1.81586647	2.74652558	2.01869978	2.76021731
veg_0148.jpg	71	5.61428571	2.6	5.27142857	4.17142857	2.24765809	1.86034125	2.46671423	2.89913245
veg_0152.jpg	68	5.55223881	3.05970149	5.89552239	3.89552239	2.06179961	2.32822339	1.90003452	2.97532442
veg_0186.jpg	71	5.31428571	3	5.8	3.5	1.83794827	2.29681569	1.98982921	2.57496306
veg_0198.JPG	71	6.18571429	3.54285714	5.84285714	4.8	1.9433488	2.44762952	2.47090733	2.99080717
veg_0281.jpg	71	5.35294118	2.86764706	6.01470588	3.95588235	2.07158967	2.16418894	2.28879586	2.55934824
veg_0455.jpg	65	6.03076923	3.43076923	6.03076923	4.84615385	1.89546524	2.55544291	1.74077237	3.00120168
veg_0725.jpg	68	5.78461538	3.29230769	6.13846154	4.03076923	2.16139645	2.54167192	1.81036014	2.70975801
vegofood.jpg	65	5.76923077	3.29230769	6.03076923	4.29230769	2.0824357	2.59641024	1.92003606	2.89786062
